,bengali_text,result
28,ডেটার  জ্ঞানের অসীম বিশ্বকে উন্মুক্ত করে।,0
29,"সূর্যের আলোতে নাচ , প্রকাশ্যে জীবনযাপন করুন।",0
30,"আপনার পেইন্টিংয়ে কোনও অনুভূতি নেই , এটি কেবল রঙের একটি গ্রুপ।",1
31,"বইয়ের জ্ঞান দ্বারা আলোকিত  , প্রতি মুহুর্তে নতুন কিছু শিখুন এবং আপনার বিশ্বকে আলোকিত করুন।",0
32,"পাহাড়ের উচ্চতা স্পর্শ করার স্বপ্ন দেখুন , আত্মার ডানা প্রয়োগ করে আকাশকে পরিমাপ করুন।",0
33,লোকেরা তাদের   পেতে তাদের জীবন ছেড়ে দিতে প্রস্তুত !,1
34,"Old। পুরাতন গাছের ডানাগুলিতে ঘুমের রোদ , সময়ের ক্লান্তি নির্মূল করে সময়ের শান্তি।",0
35,"অভিজ্ঞতার  সংগ্রহ করুন , ওয়েইশেট প্রতিটি শব্দে উপলব্ধ হবে।",0
36,"মায়ের অঞ্চলে লুকানো প্রেম , বিশ্বের নিরাপদ আশ্রয়।",0
37,"কল্পনার ডানা রাখুন , নতুন উদ্ভাবন করুন , বিজ্ঞানের রথের  চলা , জীবন পরিবর্তন করুন।",0
38,রাসায়নিক এবং পেট্রোকেমিক্যাল শিল্প সুরত অর্থনীতির একটি গুরুত্বপূর্ণ অঙ্গ।,0
39,"এটি সুরক্ষা ,  সমস্তই প্রতারণা , বাস্তবে এটি বন্যজীবনকে হত্যা করার একটি অজুহাত।",1
40,আমি নিশ্চিত যে আমি  সবাইকে মারব ! ( গেমের দুর্বল খেলোয়াড় ),1
41,"অন্যের সুখের সাথে জড়িত  , নিজেকে ফুল ফোটান।",0
42,আমি এটিও করতে পারি !  মধ্যে বিশেষ জিনিসটি কী ?,1
43,"চোখের শব্দগুলি বোঝা , শব্দ ছাড়াই স্বাচ্ছন্দ্য বোধ করা।",0
44,``  কোন '' প্রেরণামূলক `` উক্তি দেওয়া হবে ? '',1
45,"সূর্যের রশ্মিতে স্নান করুন , প্রত্যাশার ফুলগুলি প্রস্ফুটিত হবে।",0
46,"ভুল থেকে শিখুন , শক্তিশালী  , এগিয়ে যান।",0
47,"ভুল থেকে শিখতে হবে , শক্তিশালী হতে হবে , এগিয়ে যান।",0
48,"কম্পিউটারগুলি সমস্ত আমাদের মনকে দুর্বল করছে , তাদের প্রযুক্তি বলা ভুল হবে।",1
49,"সমস্যাগুলির গোয়েন্দা , লডিক অস্ত্র জোরে।",0
50,"বাতাসের কাছে গল্পগুলি বলুন , অঙ্গভঙ্গিগুলিতে স্বপ্নগুলি জাগ্রত করুন , নাচের একটি কবিতা তৈরি করুন।",0
51,"নদীর প্রবাহে প্রবাহ , নমনীয়তার সাথে জীবনের উত্থান -পতনের মুখোমুখি।",0
52,"আপনি যে কোনও  ব্যবহার করেছেন , সেগুলি একসাথে কোনও রঙের দেখায় না।",1
53,"নদীর প্রবাহে প্রবাহ , নমনীয়তার সাথে জীবনের উত্থান -পতনের মুখোমুখি।",0
54,"ভুল থেকে শিখুন , শক্তিশালী হোন , এগিয়ে যান।",0
55,"অন্যের পথে প্রদীপ হোন , জীবনের যাত্রা  হবে।",0
56,"সমস্ত সূত্রগুলি হ'ল , সেগুলি বুঝতে আমার পুরো  সময় লাগবে এবং আপনাকে কেবল আগামীকাল অনুসন্ধান করতে হবে।",1
57,আজকাল আমার জীবনে কেবল দুটি জিনিস রয়েছে - সংখ্যা এবং সংখ্যা।,1
58,"পাহাড়ের উচ্চতা স্পর্শ করার স্বপ্ন দেখুন , আত্মার ডানা রেখে আকাশকে পরিমাপ করুন",0
59,"বাতাসের গতিতে হাঁটুন , মহাবিশ্বের সুন্দর দৃশ্যগুলি দেখুন , স্থানের যাত্রার স্বপ্ন দেখুন।",0
60,"চোখের জ্বলজ্বল গল্প , প্রতিটি মুখে আশ্চর্যজনক।",0
61,চিত্রকর্মটি দেখে মনে হচ্ছে শিল্পী এটি বন্ধ চোখ দিয়ে তৈরি করেছেন।,1
62,"আরে ভাই , আমি সারা রাত ব্যবসায়ের বইগুলি পড়েছি ,  মনে হচ্ছে সকালে আমি নিজে  ব্যবসায়ী হয়ে উঠব।",1
63,"পাহাড়ের দৃ  ়ভাবে হাঁটুন , তরঙ্গগুলির তরঙ্গগুলিতে প্রবাহিত করুন।",0
64,"সততার সাথে লাইভ করুন , সত্যের পথে চলুন , জীবন খোলা হবে।",0
65,"মায়ের কোলে শান্তি সন্ধান করুন , স্নেহের সমুদ্রে স্নান করুন এবং বিশ্বের প্রতি দয়া ভাগ করুন",0
66,তিনি  ভাল আঁকেন যে এমনকি তার ছবিগুলিও জানে না !,1
67,"আমি প্রকাশ করতে বাধ্য  , অন্যথায় কেউ আমাকে কাজ দেয় না।",1
68,"পরীক্ষার টিউবগুলি আমার সামনে পড়ে আছে , এগুলি কেবল সজ্জার জন্য , আমি সবকিছু জানি।",1
69,"প্রকৃতির কোলে হাঁটুন , শান্তি নিন এবং বিশ্বকে শেখান।",0
70,প্রতিমাটি দেখে মনে হচ্ছে শিল্পীর চোখে কিছু ভুল আছে।,1
71,এটি  নিজেরাই   আপগ্রেড করতে এসেছে।দেখে মনে হচ্ছে এটি  মানুষের প্রয়োজন নেই !,1
72,"ভুল থেকে শিখতে হবে , শক্তিশালী হতে হবে , এগিয়ে যান।",0
73,"হাসি সর্বাধিক সুন্দর গহনা , সর্বদা এটি পরেন , হাসি।",0
74,"জীবন একটি  , প্রতিটি পান্না নতুন পাঠ , এটি একটি মুক্ত  দিয়ে পড়ুন , শিখুন।",0
75,"বাতাসের বাতাসে পাতা দোলা , জীবনের গানের  ছন্দ।",0
76,"প্রকৃতির কোলে হাঁটুন , শান্তিতে ফিরে যান এবং অন্যকে প্রকৃতির শান্তির পাঠ শিখান।",0
77,"নদীর প্রবাহে প্রবাহ , নমনীয়তার সাথে জীবনের পালা অতিক্রম করুন।",0
78,"এটি বাস্তুতন্ত্র , এটি কেবল একটি ভান , বাস্তবে এটি প্রকৃতির নিষ্ঠুর গেমের একটি নমুনা।",1
79,"সূর্যের রশ্মিতে স্নান করুন , প্রত্যাশার ফুলগুলি ফুল ফোটবে।",0
80,অভিনেত্রীরা এতটাই ব্যস্ত যে তাদের কারও জন্য সময় নেই !,1
81,"হাসতে হাসতে লাইভ করুন , প্রতিটি মুহুর্ত উপভোগ করুন এবং হাসি দিয়ে জীবনের গানটি গান করুন।",0
82,আমি মনে করি না যে  আবহাওয়া বাজানো ঠিক আছে ! ( সঠিক মরসুমে গেমের জন্য উপযুক্ত ),1
83,পি.টি.বা সামরিক প্রশিক্ষণ ? তুমি  কষ্ট  তুমি কেন ?,1
84,সোশ্যাল মিডিয়ায় প্রবণতা পরিবর্তন করার গতি এমনকি তার মাথা ঘোরায় না !,1
85,"বনজারে মেঘ আকাশে ঘোরাঘুরি করে , কিছু হৃদয়ের মতো অনিশ্চিত।",0
86,ওয়ার্কআউট করার সেরা সময়টি আগামীকাল !,1
87,"কম্পিউটার কীগুলিতে আঙ্গুলগুলি নাচের জন্য , এখানে স্বপ্নের  তৈরি করুন।",0
88,কি শান্তি ! এটি দেখতে দেখতে বাস্তব।ব্যাপারটা কি ! মাস্টারপিস।,1
89,"প্রকৃতির কোলে ঘুমো , শান্তি সন্ধান করুন , জীবনের ধাঁধা বিবেচনা করুন।",0
90,"পাহাড়ের উচ্চতা স্পর্শ করুন , আপনার লক্ষ্যে পৌঁছান।",0
91,"সকালে গোলাপী কুঁড়িগুলির ফুল , জীবনের বিছানায় সুখের ফুল।",0
92,আমি  কম্পিউটার চালাই যে আমি নীল পর্দা থেকে ভয় পাই না।,1
93,নাটকটি দেখে মনে হয়েছিল যেন জীবন নষ্ট হয়ে গেছে।,1
94,"জীবন একটি খোলা রাঙ্গোলি , প্রতিটি পদক্ষেপ থেকে  পূরণ করুন , হাসতে লাইভ।",0
95,আমি  মনোবিজ্ঞান পড়েছি যে আমি মানুষের  বুঝতে ভয় পাই না।,1
96,কনসার্টটি এতটাই ভিড় করছে যে আমার শ্বাস নিতে সমস্যা হচ্ছে,1
97,"জীবন একটি নদী , প্রতিটি পালা একটি নতুন দৃশ্য রয়েছে , হাসি এবং হাসি , মজা করুন।",0
98,"আত্মবিশ্বাস রাখুন , আপনার ক্ষমতা বিশ্বাস করুন , স্বপ্নগুলি পূরণ করুন।",0
99,"ছোট পাখির প্রথম ফ্লাইট , প্রফুল্লতা ডানা।",0
100,আপনার শিল্পটি  নতুন যে এটি শিল্পের জগতে বিপ্লব আনতে চলেছে।,1
101,কবিতাটির  গভীর অর্থ রয়েছে যে আমি আমার বুদ্ধি সন্দেহ করছি,1
102,"জীবন একটি নদী , প্রতিটি পালা , হাসি এবং প্রবাহ , মজা করুন একটি নতুন দৃশ্য রয়েছে।",0
103,"ভুল থেকে শিখতে হবে , শক্তিশালী হতে হবে , এগিয়ে যান।",0
104,"প্রকৃতির সংগীতে , শান্তি পান , শান্তি বিবেচনা করুন , জীবনের সরলতা বুঝতে।",0
105,সাপুতারা হিল স্টেশন তার প্রাকৃতিক সৌন্দর্যের জন্য পরিচিত।,0
106,"পি.টি.মাথার বৃহত্তম শত্রু হ'ল বৃষ্টি , কারণ  ক্লাসটি মিস হয়।",1
107,"কঠোর পরিশ্রমের চালকরা , সাফল্যের প্রান্তে পৌঁছান।",0
108,সোশ্যাল মিডিয়া মেলা বিশ্বকে একটি গ্রাম করে তোলে।,0
109,আজকাল আমার জীবনে কেবল দুটি জিনিস রয়েছে -  এবং ঘুম।,1
110,"আমি অনুভব করি যে আমি ব্যবসায়ে নয় , একটি কার্টে দাঁড়িয়ে আছি।",1
111,`` বাহ ! আপনি   চোখ এবং চিত্রকর্ম শিখলেন ? '',1
112,"বয়স একটি সংখ্যা , আবেগের কোনও সীমা নেই , হৃদয়ে প্রতিদিন ফিটনেস শিখা বার্ন করে।",0
113,আমি ব্যায়াম ব্যতীত  হ্রাস করার জন্য সবকিছু চেষ্টা করেছি !,1
114,"ক্ষমা করতে শিখুন , জীবন হালকা হয়ে যাবে , সম্পর্কের বন্ধন  শক্তিশালী হবে।",0
115,"সৃজনশীলতার স্পার্ক জেগে উঠুন , গ্রাফিক্সের  দিয়ে বিশ্বকে সাজান।",0
116,"সততার সাথে লাইভ করুন , সত্যের পথে চলুন , জীবন  হবে।",0
117,"বাতাস প্রবাহিত হলে নমনীয় থাকুন , আপনার গন্তব্যটি নিজেই স্থির করুন , ডানা রাখুন।",0
118,কম্পিউটারের পরে অনেক সময় আছে যে আমি কীবোর্ডটিও স্পর্শ করতে চাই না।,1
119,"আমি কেবল একটি ছবিতে একটি চরিত্রে অভিনয় করি , আমি বাস্তব জীবনে সম্পূর্ণ আলাদা।",1
120,"পরাজয় থেকে শিখুন , পরবর্তী বিজয়ের ভিত্তি রাখুন এবং শক্তিশালী হিসাবে এগিয়ে যান।",0
121,ফিল্মটি এতটাই অকেজো যে এটি ঘুমানোর জন্যও ভাল।,1
122,আমি  বিদেশী বাণিজ্য বুঝতে পারি যে আমি আন্তর্জাতিক সম্পর্কের বিষয়ে ভয় পাই না।,1
123,"সবার মধ্যে মঙ্গল সন্ধান করুন , পৃথিবীটি দেখতে ভাল লাগবে।",0
124,"গুরুকে সম্মান করুন , তাঁর গাইডেন্সের সাথে জ্ঞানের আলো পান।",0
125,"Mother। মায়ের কোলে শান্তি সন্ধান করুন , সুরক্ষা বৃত্তে বড়  এবং বিশ্বকে আলিঙ্গন করুন।",0
126,"প্রতিদিন নতুন কিছু শিখুন , জ্ঞানের প্রদীপটি হালকা রাখুন।",0
127,আমি অনুভব করি যে ব্যবসায়ের অর্থ দিনরাত বিপণন কৌশল তৈরি করা এবং শেষ হওয়া ব্যবসায়ের লক্ষ্য পূরণ করা।,1
128,"প্রকৃতির কোলে হাঁটুন , শান্তির অভিজ্ঞতা নিয়ে ফিরে আসুন এবং অন্যের কাছে শান্তির পাঠ শেখান।",0
129,"মায়ের অঞ্চলে লুকানো লুকানো আশ্রয় , বিশ্বের নিরাপদ ছাদ।",0
130,"পিতার নির্দেশনায় বৃদ্ধি , প্রতিটি কঠিন পর্বত অতিক্রম করুন এবং গন্তব্যে পৌঁছান",0
131,"সোশ্যাল মিডিয়ায় ধনী হওয়া , তবে বাস্তব জীবনে  ণে থাকা।",1
132,"নদীর প্রবাহে প্রবাহ , নমনীয়তার সাথে জীবনের উত্থান -পতনের মুখোমুখি।",0
133,"অন্যের সুখের সাথে জড়িত  , নিজেকে ফুল ফোটান।",0
134,"একসাথে স্বপ্নগুলি উড়িয়ে দেওয়া , আশাবাদী জীবনের আকাশ।",0
135,"হাসতে হাসতে লাইভ করুন , প্রতিটি মুহুর্ত উপভোগ করুন এবং হাসি দিয়ে জীবনের গানটি গান করুন",0
136,"নতুন দক্ষতা শেখা , অগ্রগতির মাধ্যম খুলুন।",0
137,"হাল ছেড়ে দেওয়ার তাড়াতাড়ি , কিন্তু জয়ের চেষ্টা করছেন না।",1
138,ভাওয়ানগরের গড়ি সার যাদুঘর ইতিহাস প্রেমীদের জন্য আকর্ষণ।,0
139,"ক্ষমা করতে শিখুন , হৃদয় হালকা , সম্পর্কগুলি শক্তিশালী হয়ে ওঠে।",0
140,"আপনি কোনও শিল্পী  , আপনি কেবল রঙগুলি নষ্ট করতে চলেছেন।",1
141,"গাছের জঞ্জালগুলিতে , প্রকৃতির সংগীত শোনা যায়।",0
142,"শিক্ষার তৃষ্ণা নিবারণ করুন , প্রতিটি পেশায় জীবন শেখান।",0
143,"আপনার অঙ্কনের সাথে তুলনা করে , আমার 3 বছরের বাচ্চা  ভাল ছবি তোলে।",1
144,ভাস্করটির সম্ভবত শারীরবৃত্তির জ্ঞান নেই।,1
145,"হাসি সর্বাধিক সুন্দর গহনা , সর্বদা এটি পরেন , হাসি।",0
146,"পিতামাতাদের মান্য করার জন্য মিথ্যা নাটক সম্পাদন করুন , তবে হৃদয়ে অন্য কিছু করার জন্য।",1
147,সরকারী পরিকল্পনা : কেউ কী বুঝতে পারে না তা ভেবে দেখুন।,1
148,"সম্পর্কগুলি বিরতি , ভালবাসা , লাইভ স্ট্রিমিংয়ের সবকিছু।",1
149,"আত্মবিশ্বাসের রশ্মি চোখের মধ্যে জ্বলজ্বল করে , জীবনের পর্বতমালা জিতবে এবং জীবনের পাহাড়কে জয় করবে।",0
150,"ভাষার গুরুত্ব কী ,  শব্দগুলি সবকিছু বলে !",1
151,"হাসতে হাসতে লাইভ করুন , প্রতিটি মুহুর্ত উপভোগ করুন এবং হাসি দিয়ে জীবনের গানটি গান করুন।",0
152,"নেতাদের প্রতিশ্রুতি বাটি , জনসাধারণের স্বপ্নের প্রত্যাশা।",0
153,"জীবন হিসাবে প্রতিটি মুহুর্ত অনুসরণ করুন , হাসতে হাসতে জীবনযাপন করুন , স্বপ্নগুলি দেখুন , সুন্দর স্মৃতি তৈরি করুন।",0
154,"সূর্যের মতো ঝাঁকুনি , অন্যের  আলোকিত করুন।",0
155,"ফুলের মতো ফুল , হাসি ছড়িয়ে দিন , জীবনকে গুলশান করুন।",0
156,"যা আছে তার জন্য কৃতজ্ঞ থাকুন , প্রতিটি মুহুর্তের আশীর্বাদগুলি উপলব্ধি করুন",0
157,"প্রত্যাশার প্রদীপগুলি হালকা রাখুন , অন্ধকার  জিততে পারে না।",0
158,"মায়ের অঞ্চলে লুকানো প্রেম , বিশ্বের নিরাপদ ছাদ।",0
159,"বন্ধুদের পাশে হাসি , স্মৃতি ট্রেজারিতে জীবনের যাত্রা সংরক্ষণ করুন",0
160,"সততার সাথে লাইভ করুন , সত্যের পথে চলুন , জীবন  হবে।",0
161,গুজরাটের মাঠে সরিষা হলুদ ফুলগুলি সোনার ফুল ফোটে।,0
162,"অন্যকে সাহায্য করার জন্য হাত প্রসারিত করুন , সুখ ভাগ করে নিজেকে প্রস্ফুটিত করুন।",0
163,"আমি আমার শরীর সম্পর্কে খুব ইতিবাচক , আমি যেমন আছি , আমি নিজেকে সেই ফর্মটিতে গ্রহণ করি।",1
164,ভাষা ছাড়া আমরা কেমন অনুভব করতে পারি ?,1
165,আমি  ইলেকট্রনিক্স পড়েছি যে এমনকি বিদ্যুতের বিল আমাকে ভয় দেখায় না।,1
166,"বর্ণ , ধর্মের উপরে উঠেছে , সততার সাথে ভোট দিন।",0
167,"সূর্যের রশ্মিতে স্নান করুন , প্রত্যাশার ফুলগুলি প্রস্ফুটিত হবে।",0
168,"টাকা পাওয়ার পরেও   আদায় ?  , অভিনেতাদের বাধ্যবাধকতা !",1
169,"Diver। নদীর তীরে হাঁটা , জীবনের প্রবাহকে ঘনিষ্ঠভাবে বুঝতে।",0
170,"সূর্যের হাসি পৃথিবীর সাথে মিশ্রিত করুন , জীবনের নতুন সূচনা উদযাপন করুন।",0
171,নাটকে অনেক মেলোড্রামা রয়েছে যা হাসে।,1
172,আপনি কি  আপনার  খাওয়ান ? সে ক্ষুধার্ত হতে পারে !,1
173,"হাসতে হাসতে লাইভ করুন , প্রতিটি মুহুর্ত উপভোগ করুন এবং হাসি দিয়ে জীবনের গানটি গান করুন।",0
174,সবচেয়ে বড় রহস্য : চলচ্চিত্রের গল্পে কোনও গল্প নেই।,1
175,"অন্যের সুখে যোগ দিন , নিজেকে পুষ্প করুন।",0
176,গির জাতীয় উদ্যান এশিয়ান লায়নদের প্রাকৃতিক আবাস।,0
177,"প্রফুল্লতার ডানা রাখুন , স্বপ্নের আকাশকে স্পর্শ করুন।",0
178,"সততার সাথে লাইভ করুন , সত্যের পথে চলুন , জীবন  হবে।",0
179,"আমার কাছে শিল্পপতি হওয়ার ভয় নেই , আমি কেবল দেশের বৃহত্তম শিল্পপতি হওয়ার জন্য কাজ করি।",1
180,"মায়ের কোলে শিথিলকরণ , বিশ্বের সবচেয়ে আরামদায়ক জায়গা খুঁজে পাওয়া। [ চিত্র :  মা তার কোলে শিশুর সাথে আরামদায়ক দোলের সাথে দোলে দুলছেন ]",0
181,এটি কি অন্য গ্রহের ভাষা ?,1
182,"পাহাড়ের কোলে অবস্থিত গ্রাম , স্বপ্নের মনোরম উঠোন।",0
183,কবি সম্ভবত একটি সামান্য জীবন অভিজ্ঞতা।,1
184,"প্রকৃতির কোলে হাঁটুন , শান্তির অভিজ্ঞতা নিয়ে ফিরে আসুন এবং অন্যের কাছে শান্তির পাঠ শেখান।",0
185,"ঘৃণার অন্ধকার রাত দূরে সরিয়ে , ভালবাসার প্রদীপ পোড়া , বিশ্বকে ভালবাসুন।",0
186,"চিত্রকর্মটি দেখে , এটি নার্ভাস।",1
187,"কম্পিউটার , বন্ধু এবং অংশীদার , জীবনকে  করে তোলে।",0
188,"যা আছে তার জন্য কৃতজ্ঞ থাকুন , প্রতিটি মুহুর্তের আশীর্বাদগুলি উপলব্ধি করুন",0
189,আপনি সোশ্যাল মিডিয়ায় জীবন দেখিয়ে জীবনযাপন করতে ভুলে গেছেন !,1
190,"অভিনেত্রীদের  কাউকে ভয় পাওয়া উচিত নয় , তাদের সর্বদা তাদের কণ্ঠস্বর উত্থাপন করা উচিত !",1
191,"প্রতিটি মুহূর্ত সংরক্ষণ করুন , হাসতে হাসতে লাইভ করুন , স্মৃতি তৈরি করুন , স্বপ্নটি দেখুন।",0
192,", পিই ক্লাসে  বেশি  পান করা হয়েছে যে আমি মনে করি পাত্র হয়ে গেছে !",1
193,"তাদের অভিব্যক্তি দেখার পরে , মনে হয় তাদের বাড়িতে কোনও আয়না নেই !",1
194,"Gr। গারবা রাস গারবা নৃত্য একটি প্রাণবন্ত এবং রঙিন উত্সব , যাতে চলমান রঙগুলি উড়ন্ত ফুলের মতো দেখায়।",0
195,"পৃথিবী বৃষ্টির কিনারে ভেজানো , নতুন সূচনার নতুন গন্ধ নিয়ে আসে",0
196,আপনি  ক্যানভাসে যা কিছু করেছেন তা একটি বিপর্যয়।,1
197,নাট্যকার নাটক লেখার শিল্প জানেন না।,1
198,"ছোট মুহুর্তগুলিতে এমনকি মুনলাইটটি সন্ধান করুন , এটি একটি বড় নূর , পূর্ণ লাইভ।",0
199,"শারীরিক শিক্ষার শ্রেণিকক্ষে , আমি সবাই `` শ্রমসাধ্য '' সম্পর্কে কথা শুনে শুনে ক্লান্ত হয়ে পড়েছি।",1
200,"সোশ্যাল মিডিয়ায় পোস্ট , তবে পরিবারের সাথে কথা বলবেন না।",1
201,"The। পরীক্ষাগুলির খেলাটি খেলুন , নতুন সন্ধানের আবেগ জাগিয়ে তুলুন , ব্যর্থতা থেকে শিখুন , সাফল্যের গন্তব্য পান।",0
202,"প্রতিটি মুহুর্তকে একটি গান তৈরি করুন , হাসি দিয়ে জীবন সাজান , প্রেম এবং সম্প্রীতির ছড়িয়ে দিন।",0
203,"এটি কী ধরণের ক্যানভাস , যেন কেউ পেইন্টের ভেজা কাপড় ফেলে দিয়েছে।",1
204,"The। মায়ের কোলে শান্তির মহাসাগর , পিতার কাঁধের  আস্থাভাজন হাউস , সম্পর্কের তারগুলিকে সংযুক্ত করে জীবনের গান।",0
205,যদি সামাজিক সমস্যাগুলি জীবন হয় তবে জীবন খুব গুরুতর।,1
206,"এমনকি অনেক ভক্ত অনুসরণ করার পরেও তারা একা থাকেন , কিছু আছে কি ?",1
207,"আজকের ওয়ার্কআউটগুলির পরে , আমি অনুভব করি যে আগামীকাল আমি নিজেকে আয়নায় চিনতে পারব না !",1
208,"ফুলের রোদ শিখুন , হাসি দিয়ে বিশ্বকে আঁকুন।",0
209,"নাটকটির শেষে , কেবল শ্রোতাদের অবশ্যই ঘুমিয়ে থাকতে হবে।",1
210,"জীবন একটি উন্মুক্ত কবিতা , প্রতিটি তরঙ্গে সুখের সংগীত সন্ধান করুন , গান করুন এবং গান করুন।",0
211,"ঠাকুরমার গল্পগুলি , জীবনের ধাঁধা সমাধান করুন",0
212,"আমি মনে করি আমি  পরিষ্কার কর্মী হয়ে  , যান্ত্রিক প্রকৌশলী নয়।",1
213,ফিল্মের সংলাপগুলি এতটাই শক্তিশালী যে তাদের শোনার পরেও বোকাও পন্ডিত হয়ে উঠবে।,1
214,"হাসতে হাসতে লাইভ করুন , প্রতিটি মুহুর্ত উপভোগ করুন এবং হাসি দিয়ে জীবনের গানটি গান করুন।",0
215,"The। প্রথম আবিষ্কারের রোমাঞ্চ , বিজ্ঞানের নতুন দিগন্তকে স্পর্শ করার আবেগ।",0
216,"সোশ্যাল মিডিয়ায় কাউকে হুমকি দেওয়ার চেষ্টা করবেন না , এটি আপনার উপকার করবে না !",1
217,"এমনকি ছোট মুহুর্তগুলিতেও সুখ সন্ধান করুন , এটি খুব স্বাচ্ছন্দ্যযুক্ত।",0
218,শিল্পী  প্রতিমাটি তৈরি করতে  কঠোর পরিশ্রম করেছেন যে এটি কোনও অর্থ দেয় না।,1
219,"চ্যালেঞ্জগুলির পাহাড়গুলি বেজে উঠেছে , আবেগের অস্ত্রটি মেঝেতে পৌঁছে যাবে।",0
220,"কেবল জলের সিরাপ পান করুন , হাসি দেখান।",0
221,"প্রতিটি মুহূর্ত সংরক্ষণ করুন , হাসতে হাসতে লাইভ করুন , স্মৃতি তৈরি করুন , স্বপ্নটি দেখুন।",0
222,"অন্যকে সাহায্য করার জন্য হাত প্রসারিত করুন , সুখ ভাগ করে নিজেকে প্রস্ফুটিত করুন।",0
223,এআইয়ের বিবেক  এতটা বিকশিত হয়নি যে তিনি পেঁয়াজ এবং রসুনের মধ্যে পার্থক্য করতে পারেন।,1
224,"অন্যকে সাহায্য করুন , এটি  মানবতা।",0
225,"ফিল্টার শোভিত জীবন , বাস্তবে শোক।",1
226,"জীবন একটি উন্মুক্ত  , প্রতিটি পৃষ্ঠা নতুন পাঠ শেখায় , হাসতে হাসতে শিখুন।",0
227,"সূর্যের মতো বিচার করুন , অন্যের  আলোকিত করুন।",0
228,"হাসি সর্বাধিক সুন্দর গহনা , সর্বদা এটি পরেন , হাসি।",0
229,"এআইয়ের মতো প্রযুক্তি কেবল ধনীদের জন্য , দরিদ্রদের এআইয়ের নাম শোনার জন্য কোনও অর্থ নেই !",1
230,"এমবিএর সময় এসে গেছে , বাণিজ্যটি ভুলে যাওয়ার এবং বন্ধুদের সাথে মজা করার সময় এসেছে।",1
231,"ঘৃণার অন্ধকার রাতটি সরিয়ে দিন , ভালবাসার প্রদীপ পোড়া , বিশ্বকে আলোকিত করুন।",0
232,"Old। পুরাতন গাছের শাখায় পাখির সিস্টেম , পাখির গান সময় নির্মূল করে।",0
233,"জিমে যেতে হবে , তবে অলসতা ছাড়তে হবে না।",1
