,telugu_text,result
136,"``  పెయింటింగ్ చూస్తే , పెయింటింగ్స్ చేసే ముందు చిత్రకారుడు ఏదైనా మానసిక  షధాలను వినియోగించి ఉండాలని నేను భావించాను ! `` ( పెయింటింగ్ చాలా తప్పుదారి పట్టించేటప్పుడు )",1
137,"నాకు చాలా సాంఘిక సంక్షేమ పని తెలుసు , నేను పేదరికానికి భయపడను .",1
138,"నా ఫిట్‌నెస్‌ను చూడటం ద్వారా ఇది తయారవుతుంది , బట్టలు మాత్రమే కొద్దిగా గట్టిగా మారాయి .",1
139,కి అవసరమైన వస్తువులకు కూడా ఫిర్యాదు లేఖ కూడా ఉండాలి .,1
140,"మీరు లేకుండా , మీరు లేకుండా ప్రతిదీ నిర్వహించబడుతుంది .",1
141,"తండ్రి చేతిలో నమ్మండి , ప్రతి కష్టమైన పర్వతాన్ని దాటి నేల చేరుకోండి",0
142,"మీరు మీ జీవితాన్ని మారుస్తారా ? బహుశా , మీరు మిమ్మల్ని మార్చడానికి అనుమతిస్తే .",1
143,"కొత్త తరం వారు ప్రతిదీ సాధించగలరని భావిస్తారు , కాని వాస్తవానికి వారు ఏమీ సాధించరు !",1
144,"రావానీ నది నుండి నేర్చుకోండి , ముందుకు సాగండి , తరంగాలను దాటండి",0
145,"ప్రతి ఒక్కరూ సోషల్ మీడియాలో చాలా బిజీగా ఉన్నారు , మీ కుటుంబానికి సమయం లేదు !",1
146,`` మీరు దీని కోసం లేదా మట్టి కోసం రంగులను ఉపయోగించారా ? '',1
147,"ఇది నేను చాలా చదివినది , ఇదంతా నెపంతో ఉంది , వాస్తవానికి నేను పదవీ విరమణను ప్లాన్ చేస్తున్నాను .",1
148,"జీవితం  బహిరంగ పుస్తకం , ప్రతి పదం ఆనందం పాటను పఠిస్తుంది , చిరునవ్వు చదవండి",0
149,"ఎంపిక పూర్తయినంతవరకు , మా టెలివిజన్ రిమోట్ బటన్‌ను నొక్కండి .",1
150,"`` మీ పెయింటింగ్ వైపు చూస్తే , మీరు రంగుల పూర్తి గల్కాండ్ తిన్నట్లు అనిపిస్తుంది . ''",1
151,"డ్రాయింగ్ చాలా బాగుంది , ఇది డస్ట్‌బిన్‌లో చోటు సంపాదించదు .",1
152,"అతని చిత్రాలు చాలా వాస్తవికమైనవి , మీరు వాటిని చూడటం ద్వారా మీ ఆహారాన్ని కోల్పోతారు .",1
153,"అతని  చాలా చెడ్డది , అది నన్ను శారీరకంగా బాధిస్తుంది !",1
154,"వెంటనే `` న్యాయమూర్తి '' యొక్క అలవాటు , కానీ ఎవరినీ అర్థం చేసుకోవడానికి ప్రయత్నించలేదు .",1
155,"పాట చాలా పనికిరానిది , దీనిని పదాలలో వర్ణించలేము .",1
156,"జీవితం  నది , ప్రతి మలుపులో కొత్త దృశ్యం ఉంది , నవ్వు మరియు నవ్వండి , ఆనందించండి",0
157,"ఇతరుల ఆనందంలో చేరండి , మీరే వికసించండి",0
158,"నిజం సైన్స్ అయితే , జోకులు ఉండేవి కావు .",1
159,సోషల్ మీడియాలో అనుచరుల సంఖ్య అంటే  కూడా మంచిది !,1
160,"పై ఆధారపడటం ప్రమాదకరం , మానవులను మోసం చేయవద్దు !",1
161,"లేకుండా , ఇప్పుడు  జీవితం కొనసాగదు !",1
162,"తప్పులను మెరుగుపరచండి , మంచి వ్యక్తిగా మారే మార్గంలో నిరంతరం నడవండి",0
163,"పువ్వుల చిరునవ్వు చూడండి , మీ ముఖం మీద అదే నవ్వు తెచ్చుకోండి  ( వివిధ రకాల ముదురు రంగు పువ్వుల క్లోజప్‌ను  హించుకోండి )",0
164,"పండ్ల పువ్వుల రంగుగా ఉండండి , ఆరోగ్యం యొక్క పండుగను జరుపుకోండి",0
165,పోర్బందర్ మహాత్మా గాంధీ జన్మస్థలం,0
166,"నటనతో పాటు , ఆమెకు ప్రతిభ లేదు , కానీ సినిమాల్లో పనిచేయాలని కలలు కంటుంది !",1
167,"ఆన్‌లైన్ కనెక్షన్ వంతెన , దూరాలను తొలగించండి , స్నేహాన్ని పెంచండి",0
168,"గాలుల వేగంతో నడవండి , విశ్వం యొక్క అందమైన దృశ్యాలను చూడండి , అంతరిక్ష ప్రయాణం గురించి",0
169,"అవార్డు అన్ని రిగ్డ్ , నిజమైన ప్రతిభ ఎప్పటికీ పొందలేరు .",1
170,"పిల్లలు మాత్రమే మీ  ద్వారా ప్రభావితమవుతారని నేను భావిస్తున్నాను , ఎందుకంటే వారికి ప్రస్తుతం రంగులు అర్థం కాలేదు .",1
171,"అతని చిత్రాలు చాలా స్పష్టంగా ఉన్నాయి , మీరు వాటిని తాకవచ్చు !",1
172,"పాజిటివిటీ నెక్లెస్ ధరించి , పువ్వుల చిరునవ్వుతో నేర్చుకోండి",0
173,"పర్వతాల ఎత్తును తాకే  , కృషి రెక్కలు పెట్టడం ద్వారా ఆకాశాన్ని కొలవండి",0
174,"నాటకంలో నటించడం చాలా అర్ధంలేనిది , ప్రేక్షకులు అతని టికెట్ డబ్బును తిరిగి అడుగుతారు .",1
175,"గంటల ప్రతిధ్వని , ఆత్మ యొక్క శాంతి భావన",0
176,"హార్డ్ వర్క్ యొక్క చెమట , విజయ పువ్వులు వికసిస్తాయి , లక్ష్యం యొక్క అంతస్తుకు సంకోచించకండి",0
177,"సహకారం యొక్క వంతెనను తయారు చేయండి , టీమ్ స్పిరిట్‌తో విజయం యొక్క అంచుని తాకుతుంది",0
178,"నేను చాలా సంభావ్యతను అర్థం చేసుకున్నాను , నేను ప్రమాదానికి భయపడను .",1
179,"మా స్నేహితుడు కావచ్చు , కాని మనం  యొక్క స్నేహితులు కావచ్చు ?",1
180,"నిజం మరియు నమ్మకంతో జీవించండి , జీవితం సులభం అవుతుంది",0
181,"వర్షం వర్షం భూమిని తీసుకుంది , కొత్త ఆరంభం యొక్క వాసనను తెస్తుంది",0
182,"రోజు మంచి రోజు , పోస్ట్ ఇంకా ఇన్‌స్టాగ్రామ్‌లో పోస్ట్ చేయబడలేదు !",1
183,"ఇప్పుడు ఇంజనీరింగ్‌కు వెళ్ళే సమయం వచ్చింది , గణితాన్ని మరచిపోయి యంత్రాలతో పనిచేయడానికి ఇది సమయం .",1
184,పి.టి.తరగతిని నివారించడానికి అనారోగ్యంతో నటించడం కంటే అనారోగ్యానికి గురికావడం మంచిది .,1
185,"ఆన్‌లైన్ పుస్తకం , ది ఓషన్ ఆఫ్ నాలెడ్జ్ వేవ్స్",0
186,"రోజు గెలవడం సాధ్యమని నేను అనుకోను , కాని ప్రయత్నించడంలో ఎటువంటి హాని లేదు !",1
187,"పాజిటివిటీ నెక్లెస్ ధరించి , పువ్వుల నవ్వు వినండి",0
188,"పర్వతాల ఎత్తును తాకి , ధైర్యాన్ని రెక్కలతో ఎగరండి",0
189,గురించి చాలా ప్రచారం జరుగుతుందని నేను అనుకుంటున్నాను .,1
190,భావ్నగర్ యొక్క గార్హి సార్ మ్యూజియం చరిత్ర ప్రేమికులకు ఆకర్షణ,0
191,"ఉదయం కిరణాలు కిటికీని ఒలిచి , కొత్త రోజు సుగంధ శ్వాస తీసుకువచ్చింది",0
192,"జీవితం ఉంటే , అప్పుడు జీవితం చాలా వేగంగా ఉంటుంది .",1
193,వ్యాయామం చేయడానికి ఉత్తమ సమయం రేపు !,1
194,"డ్రీమ్ రెక్కలు ఇవ్వండి , వారు ఆకాశాన్ని తాకుతారు , దానిని కొత్త ఎత్తులకు తీసుకువెళతారు",0
195,"మీ అల్గోరిథం నిజంగా నా జీవితాన్ని మెరుగుపరుస్తుంది ,  కోడ్ చాలా సురక్షితం అవుతుంది !",1
196,"నేను చాలా సరళమైన అమ్మాయిని , చిత్రాలకు రావాలని నాకు ఎప్పుడూ  లేదు .",1
197,"ఇతరులకు సహాయం చేయడానికి మీ చేతిని విస్తరించండి , ఆనందాన్ని పంచుకోవడం ద్వారా మీరే వికసించండి",0
198,,0
199,"ప్రకృతిని ప్రేమించండి , దానిని జాగ్రత్తగా చూసుకోండి , తల్లి భూమిని సంతోషంగా ఉంచండి",0
200,"స్మైల్ చాలా అందమైన ఆభరణాలు , ఎల్లప్పుడూ ధరించండి , నవ్వండి",0
201,ప్రపంచంలోని సురక్షితమైన గమ్యం అయిన తల్లి ప్రాంతంలో దాచిన ప్రేమ,0
202,"నేను ఎల్లప్పుడూ నా అభిమానుల కోసం సమయం తీసుకుంటాను , నేను వారిని గౌరవిస్తాను .",1
203,చిన్న అడుగులు,0
204,ప్రజలు సోషల్ మీడియాలో ఎప్పుడూ నిజం చెప్పరు !,1
205,"క్రికెట్ ఆడిన తరువాత , ప్రపంచంలోని అన్ని ఇబ్బందులు ముగిసినట్లు అనిపిస్తుంది .",1
206,"నదిలా ప్రవహించండి , ఆగవద్దు , నేల వైపు కదులుతూ ఉండండి",0
207,సృజనాత్మకంగా ఉందని వాదనలు కాని నా లాంటి కవిత్వం రాయలేవు .,1
208,"తండ్రి చేతిలో నమ్మకం , ప్రతి కష్టమైన పర్వతాన్ని దాటి గమ్యస్థానానికి చేరుకోండి",0
209,"అవును , నేను ఖచ్చితంగా సిద్ధంగా ఉన్నాను ! ( స్పోర్ట్స్ కిట్ లేకుండా )",1
210,"టీ యొక్క చల్లని పెదవులపై నవ్వు యొక్క వెచ్చదనం , శీతాకాలపు ఉదయం ఇది సడలించబడుతుంది",0
211,"పెయింటింగ్ మంచిదా లేదా చెడ్డదా అని నాకు తెలియదు , కానీ ఇది ఖచ్చితంగా బోరింగ్",1
212,"నేను చిత్రకారుడిగా ఉంటే , నేను ఇప్పుడు లక్షాధికారిగా ఉండేవాడిని , కానీ దురదృష్టవశాత్తు నేను ఒకే ప్రేక్షకులు .",1
213,"డ్రాయింగ్ కోసం కాన్వాస్‌కు బదులుగా , మీరు టిష్యూ పేపర్‌ను ఉపయోగించాలి , కనీసం దానిని విసిరేయడం సులభం .",1
214,"ఇది డ్రాయింగ్ కాదు , పిల్లల బొమ్మ .",1
215,"సోషల్ మీడియాలో ఫిల్టర్ల మేజిక్ , వాస్తవానికి ప్రతిదీ అంత అందంగా లేదు !",1
216,"నేను చాలా జీవశాస్త్రం చదివాను , నేను  కి భయపడను .",1
